AS OF 07_2024	Circuit #S	Rack	General Area it Comes from	WHAT THEY ARE CURRENTLY ON	Secondary Name if Applicable	Color in Rack	Notes			
RACK 1										SL Weight Rail
R1A	1-6	1	DIMMER ROOM DS RACK	FOH GRID	APRON	RED				R2Y (from grid, DSL)
R1B	7-12	1	DIMMER ROOM DS RACK	FOH GRID	APRON	ORANGE				R3A, R3C (USL coils)
R1C	13-18	1	DIMMER ROOM DS RACK	FOH GRID	FOH 4 BALCONY	YELLOW				R3E (USL, unused)
R1D	19-24	1	DIMMER ROOM DS RACK	FOH GRID	FOH 3 BOOMQUEESHA	GREEN				Cue LX ctrl addr.13
R1E	25-30	1	DIMMER ROOM DS RACK	BOX BOOM WHOLE	BOX BOOM SR	BLUE				Grid
R1F	31-36	1	DIMMER ROOM DS RACK	BOX BOOM WHOLE	BOX BOOM SR	PURPLE				Grid Sp 1 (gaff label either R1P or RIP?)
R1G	37-42	1	DIMMER ROOM DS RACK	BOX BOOM WHOLE	FUNK SR	GREY				R2N, R3G, R3H (all unused)
R1H	43-48	1	DIMMER ROOM DS RACK	BOX BOOM WHOLE	AUD BM SR 1	BROWN				SL (DS>US) Grid hooks
R1J	49-54	1	DIMMER ROOM DS RACK	BOX BOOM WHOLE	AUD BM SR 2	WHITE				SR GRID 3 (L620 drop)
R1K	55-60	1	DIMMER ROOM DS RACK	BOX BOOM WHOLE	SIDE SPOT SR/ AUD BM SR 2	BLACK				R1CC, R2Y, [1 unlabeled]*
R1L	61-66	1	DIMMER ROOM DS RACK	TORM	TORM SR	RED				R1T, R1V, M1A
R1M	67-72	1	DIMMER ROOM DS RACK	TORM	TORM SR	ORANGE				R1U, R1S, R1W*
R1N	73-78	1	DIMMER ROOM DS RACK	GRID SR	GRID SR	YELLOW				R1Y
R1P	79-84	1	DIMMER ROOM DS RACK	GRID SL	GRID SL/ GRID SPARE 1	GREEN				R2W, M1B, R2V
R1Q	85-90	1	DIMMER ROOM DS RACK	GRID SR	GRID SR/ GRID SPARE 2	BLUE				R27??, R2U, R2T
R1R	91-96	1	DIMMER ROOM DS RACK		BOOTH?	PURPLE				R1N* (unlisted), Grid Sp 2 *
R1S	97-102	1	DIMMER ROOM DS RACK	GRID SR	OH ELEC 1	GREY				M1F*
R1T	103-108	1	DIMMER ROOM DS RACK	GRID SR	OH ELEC 1	BROWN				R3D*
