`	Circuit #S	Rack	General Area it Comes from	General Area it runs to	Secondary Name if Applicable	Color in Rack	Notes
RACK 1							
R1A	1-6	1	DIMMER ROOM DS RACK	FOH GRID	APRON	RED	
R1B	7-12	1	DIMMER ROOM DS RACK	FOH GRID	APRON	ORANGE	
R1C	13-18	1	DIMMER ROOM DS RACK	FOH GRID	FOH 4 BALCONY	YELLOW	
R1D	19-24	1	DIMMER ROOM DS RACK	FOH GRID	FOH 3 BOOMQUEESHA	GREEN	
R1E	25-30	1	DIMMER ROOM DS RACK	BOX BOOM WHOLE	BOX BOOM SR	BLUE	
R1F	31-36	1	DIMMER ROOM DS RACK	BOX BOOM WHOLE	BOX BOOM SR	PURPLE	
R1G	37-42	1	DIMMER ROOM DS RACK	BOX BOOM WHOLE	FUNK SR	GREY	
R1H	43-48	1	DIMMER ROOM DS RACK	BOX BOOM WHOLE	Apron Boom SR 1	BROWN	
R1J	49-54	1	DIMMER ROOM DS RACK	BOX BOOM WHOLE	AUD BM SR 2	WHITE	
R1K	55-60	1	DIMMER ROOM DS RACK	BOX BOOM WHOLE	SIDE SPOT SR/ AUD BM SR 2	BLACK	
R1L	61-66	1	DIMMER ROOM DS RACK	TORM	TORM SR	RED	
R1M	67-72	1	DIMMER ROOM DS RACK	TORM	TORM SR	ORANGE	
R1N	73-78	1	DIMMER ROOM DS RACK	GRID SR	GRID SR	YELLOW	
R1P	79-84	1	DIMMER ROOM DS RACK	SL WEIGHT RAIL	GRID SL/ GRID SPARE 1	GREEN	SPARE
R1Q	85-90	1	DIMMER ROOM DS RACK	GRID SR	GRID SR/ GRID SPARE 2	BLUE	SET LX
R1R	91-96	1	DIMMER ROOM DS RACK	FOH GRID	BOOTH	PURPLE	Spare
R1S	97-102	1	DIMMER ROOM DS RACK	GRID SR	OH ELEC 1	GREY	
R1T	103-108	1	DIMMER ROOM DS RACK	GRID SR	OH ELEC 1	BROWN	
R1U	109-114	1	DIMMER ROOM DS RACK	GRID SR	OH ELEC 1	WHITE	
R1V	115-120	1	DIMMER ROOM DS RACK	GRID SR	OH ELEC 1	BLACK	
R1W	121-126	1	DIMMER ROOM DS RACK	GRID SR	OH ELEC 1	RED	
R1X	127-132	1	DIMMER ROOM DS RACK	FOH GRID	FOH 1	ORANGE	
R1Y	133-138	1	DIMMER ROOM DS RACK	GRID SR	LADDER SR	YELLOW	
R1Z	139-144	1	DIMMER ROOM DS RACK			GREEN	
R1zAA	145-150		DIMMER ROOM DS RACK			BLUE	No Soca
R1zBB	151-156		DIMMER ROOM DS RACK			PURPLE	No Soca
R1zCC	157-162		DIMMER ROOM DS RACK			GREY	No Soca
R1zDD	163-168		DIMMER ROOM DS RACK			BROWN	No Soca
R1zEE	169-174		DIMMER ROOM DS RACK			WHITE	No Soca
R1zFF	175-180		DIMMER ROOM DS RACK			BLACK	No Soca
R1zGG	181-186		DIMMER ROOM DS RACK			RED	No Soca
R1zHH	187-193		DIMMER ROOM DS RACK			ORANGE	No Soca
R1zJJ		1	DIMMER ROOM DS RACK	FOH BEAM 2			STAGE PIN INTO RACK
RACK 2							
R2A	1-6	2	DIMMER ROOM US RACK	FOH GRID	APRON	RED	
R2B	7-12	2	DIMMER ROOM US RACK	FOH GRID	APRON	ORANGE	
R2C	13-18	2	DIMMER ROOM US RACK	FOH GRID	FOH 4 BALCONY	YELLOW	
R2D	19-24	2	DIMMER ROOM US RACK	FOH GRID	FOH 3 BOOMQUEESHA	GREEN	
R2E	25-30	2	DIMMER ROOM US RACK	BOX BOOM WHOLE	BOX BOOM SL	BLUE	
R2F	31-36	2	DIMMER ROOM US RACK	BOX BOOM WHOLE	BOX BOOM SL	PURPLE	
R2G	37-42	2	DIMMER ROOM US RACK	BOX BOOM WHOLE	FUNK SL	GREY	
R2H	43-48	2	DIMMER ROOM US RACK	BOX BOOM WHOLE	APRON BOOM SL	BROWN	
R2J	49-54	2	DIMMER ROOM US RACK	BOX BOOM WHOLE	AUD BM 2 SL	WHITE	
